#iterationNumber	varNumber	clauseNumber	itertionTime
1	4986	12661	0.211s
2	9502	17538	0.08987s
3	14018	29440	0.09704s
4	18534	34155	0.1053s
5	23050	42653	0.1148s
6	27566	51158	0.1087s
7	32082	63058	0.1144s
8	36598	68224	0.1546s
9	41114	76376	0.2112s
10	45630	84155	0.1183s
11	50146	96043	0.1785s
12	54662	100461	0.2016s
13	59178	108664	0.3827s
14	63694	115221	0.1367s
15	68210	127091	0.1672s
16	72726	131305	0.1381s
17	77242	143175	0.2909s
18	81758	147501	0.2118s
19	86274	155693	0.4475s
20	90790	162564	0.3059s
21	95306	170020	0.2749s
22	99822	174940	0.6356s
23	104338	180424	0.2887s
24	108854	187088	0.2587s
25	113370	191758	0.3342s
26	117886	191191	0.1045s
27	122402	202941	0.1132s
28	126918	214691	0.2012s
29	131434	211884	0.3789s
30	135950	213892	0.1225s
31	140466	225608	0.4433s
32	144982	220261	0.1862s
33	149498	231955	0.4269s
34	154014	231740	0.3028s
35	158530	237133	0.1706s
36	163046	248815	0.1703s
37	167562	250455	0.596s
38	172078	253432	0.4009s
39	176594	253568	0.138s
40	181110	265208	0.1445s
41	185626	265141	0.1722s
42	190142	276781	0.2509s
43	194658	277457	0.2103s
44	199174	289089	0.503s
45	203690	268253	1.024s
46	208206	229574	0.3305s
47	212722	241040	0.3406s
48	217238	236894	0.4412s
49	221754	139534	0.2432s
50	226270	150772	0.3421s
51	230786	139660	0.2359s
52	235302	140563	0.5074s
53	239818	126698	0.2526s
54	244334	127453	0.3949s
55	248850	125199	2.186s
This is the last UNSAT round.
