#iterationNumber	varNumber	clauseNumber	itertionTime
1	7145	18196	0.1817s
2	13351	24102	0.07034s
3	19557	40538	0.09081s
4	25763	42135	0.1166s
5	31969	51276	0.1031s
6	38175	60646	0.1093s
7	44381	68746	0.1542s
8	50587	75970	0.1885s
9	56793	85306	0.1206s
10	62999	94584	0.1669s
11	69205	103873	0.1533s
12	75411	112572	0.1252s
13	81617	121413	0.2614s
14	87823	129737	0.5501s
15	94029	132135	0.1628s
16	100235	141288	0.2479s
17	106441	149316	0.2683s
18	112647	157986	0.1601s
19	118853	164743	0.2326s
20	125059	172771	0.1621s
21	131265	181824	0.7613s
22	137471	182312	0.3318s
23	143677	190134	0.5384s
24	149883	194416	0.3312s
25	156089	201997	0.3902s
26	162295	205750	0.9641s
27	168501	205365	0.2043s
28	174707	212608	0.1858s
29	180913	228756	0.5118s
30	187119	224785	0.8128s
31	193325	227213	0.3023s
32	199531	236115	0.229s
33	205737	242023	0.1967s
34	211943	258129	0.4223s
35	218149	254888	0.4926s
36	224355	254003	0.2599s
37	230561	270061	0.2162s
38	236767	267842	0.5879s
39	242973	270845	0.2896s
40	249179	278208	0.3309s
41	255385	284793	0.2581s
42	261591	300841	0.4637s
43	267797	298072	0.5451s
This is the last UNSAT round.
