#iterationNumber	varNumber	clauseNumber	itertionTime
1	6545	16716	0.1671s
2	12151	21911	0.06476s
3	17757	36747	0.07876s
4	23363	38202	0.08083s
5	28969	46219	0.08766s
6	34575	54145	0.1002s
7	40181	61433	0.1221s
8	45787	69373	0.1254s
9	51393	76091	0.1275s
10	56999	83110	0.09251s
11	62605	97886	0.2725s
12	68211	96098	0.1165s
13	73817	103661	0.195s
14	79423	110192	0.2714s
15	85029	115514	0.1405s
16	90635	122522	0.208s
17	96241	129287	0.2007s
18	101847	136707	0.3744s
19	107453	139275	0.1343s
20	113059	153957	0.133s
21	118665	154653	0.7049s
22	124271	155418	0.1595s
23	129877	163375	0.2923s
24	135483	159040	0.1632s
25	141089	164677	0.3413s
26	146695	169099	0.16s
27	152301	176254	0.5464s
28	157907	176602	0.3281s
29	163513	178003	0.2384s
30	169119	181468	0.2842s
31	174725	183959	0.1752s
32	180331	190172	0.2085s
33	185937	192883	0.1453s
34	191543	207393	0.2329s
35	197149	202735	0.2755s
36	202755	208979	0.2037s
37	208361	215718	0.414s
38	213967	221280	0.2598s
39	219573	224232	0.2391s
40	225179	238728	0.3643s
This is the last UNSAT round.
