#iterationNumber	varNumber	clauseNumber	itertionTime
1	4974	12999	0.1301s
2	9328	16624	0.05224s
3	13682	28322	0.05846s
4	18036	32116	0.08178s
5	22390	38094	0.1091s
6	26744	43737	0.08574s
7	31098	51617	0.08525s
8	35452	59539	0.1424s
9	39806	67511	0.1134s
10	44160	74713	0.1079s
11	48514	82432	0.0949s
12	52868	94114	0.2162s
13	57222	97914	0.1368s
14	61576	105113	0.269s
15	65930	112718	0.1808s
16	70284	120219	0.179s
17	74638	126336	0.3003s
18	78992	133358	0.2052s
19	83346	140675	0.1773s
20	87700	148487	1.31s
21	92054	150178	0.7828s
22	96408	147924	1.062s
23	100762	146615	0.1673s
24	105116	152595	0.1132s
25	109470	164169	0.6905s
26	113824	163470	0.9872s
27	118178	163243	0.1512s
28	122532	169279	0.5447s
29	126886	173460	0.6733s
30	131240	176882	0.2383s
31	135594	182299	0.5412s
32	139948	187492	0.2627s
33	144302	193637	0.3787s
34	148656	198495	0.971s
35	153010	202134	0.7394s
36	157364	205192	0.2858s
37	161718	211780	0.2486s
38	166072	217927	0.401s
39	170426	222393	0.7671s
40	174780	194413	0.5173s
41	179134	191382	0.1887s
42	183488	202796	0.2947s
43	187842	186746	0.1479s
44	192196	185221	0.1852s
45	196550	196591	0.4182s
46	200904	188291	0.1538s
47	205258	199655	0.1997s
48	209612	200966	0.1817s
49	213966	212324	0.2089s
50	218320	210687	0.1582s
51	222674	215449	0.08128s
This is the last UNSAT round.
