#iterationNumber	varNumber	clauseNumber	itertionTime
1	5726	14376	0.07792s
2	11248	19528	0.04023s
3	16770	34578	0.04736s
4	22292	49628	0.04794s
5	27814	50916	0.06401s
6	33336	65966	0.05515s
7	38858	71706	0.05225s
8	44380	86752	0.07063s
9	49902	92090	0.1242s
10	55424	102273	0.07951s
11	60946	112494	0.1293s
12	66468	121380	0.08976s
13	71990	130065	0.1307s
14	77512	137909	0.1809s
15	83034	146364	0.06938s
16	88556	161344	0.103s
17	94078	166010	0.2498s
18	99600	174903	0.07971s
19	105122	189871	0.1277s
20	110644	193304	0.1122s
21	116166	208264	0.139s
22	121688	212329	0.1913s
23	127210	219897	0.1558s
24	132732	227649	0.136s
25	138254	242575	0.1025s
26	143776	244956	0.2033s
27	149298	252870	0.2101s
28	154820	260383	0.2307s
29	160342	269528	0.1464s
30	165864	278699	0.2122s
31	171386	287801	0.277s
32	176908	297011	0.3988s
33	182430	305974	0.1583s
34	187952	320888	0.161s
35	193474	324998	0.126s
36	198996	339912	0.1358s
37	204518	343899	0.3017s
38	210040	353196	0.219s
39	215562	362460	0.4253s
40	221084	371978	0.1575s
41	226606	386892	0.1496s
42	232128	401806	0.1567s
43	237650	400764	0.2951s
44	243172	415672	0.2372s
45	248694	418218	0.5115s
46	254216	358774	0.1472s
47	259738	373368	0.1682s
48	265260	308617	0.1561s
49	270782	323207	0.1445s
50	276304	337797	0.1676s
51	281826	352345	0.1417s
52	287348	312434	0.1322s
53	292870	326978	0.2292s
54	298392	324051	0.1434s
55	303914	338543	0.161s
56	309436	353029	0.2084s
57	314958	318322	0.1499s
58	320480	332726	0.1295s
59	326002	347094	0.1665s
60	331524	276856	0.1452s
61	337046	291140	0.1209s
62	342568	305418	0.05769s
This is the last UNSAT round.
