#iterationNumber	varNumber	clauseNumber	itertionTime
1	4376	11046	0.0735s
2	8548	15454	0.03177s
3	12720	26814	0.04312s
4	16892	30690	0.03933s
5	21064	42040	0.03462s
6	25236	45516	0.03673s
7	29408	56866	0.04624s
8	33580	68212	0.0588s
9	37752	67671	0.05945s
10	41924	75166	0.05955s
11	46096	86510	0.05759s
12	50268	90216	0.1255s
13	54440	96097	0.06135s
14	58612	102167	0.09039s
15	62784	109318	0.07494s
16	66956	115996	0.09086s
17	71128	122963	0.1172s
18	75300	129576	0.07789s
19	79472	140876	0.06982s
20	83644	144041	0.06502s
21	87816	155341	0.0762s
22	91988	166641	0.1051s
23	96160	177941	0.08602s
24	100332	172671	0.1554s
25	104504	179729	0.1064s
26	108676	183646	0.1246s
27	112848	190317	0.08253s
28	117020	201601	0.1377s
29	121192	198847	0.08644s
30	125364	210103	0.1227s
31	129536	212519	0.1094s
32	133708	223775	0.0998s
33	137880	235031	0.1124s
34	142052	232723	0.101s
35	146224	243979	0.1599s
36	150396	245311	0.102s
37	154568	256561	0.08291s
38	158740	258443	0.1054s
39	162912	269693	0.1699s
40	167084	280941	0.101s
41	171256	278628	0.1046s
42	175428	289864	0.09929s
43	179600	301100	0.1317s
44	183772	312334	0.1158s
45	187944	300560	0.2421s
46	192116	305383	0.1246s
47	196288	316609	0.1613s
48	200460	316618	0.123s
49	204632	327836	0.2702s
50	208804	328406	0.1195s
51	212976	339624	0.1577s
52	217148	350842	0.2674s
53	221320	348399	0.7576s
54	225492	350329	0.4516s
55	229664	353718	0.2786s
56	233836	355841	0.1789s
57	238008	362006	0.1535s
58	242180	373194	0.5326s
59	246352	373121	0.222s
60	250524	379311	0.3107s
61	254696	385531	0.2834s
62	258868	391601	0.2325s
63	263040	397714	0.3446s
64	267212	402360	0.4873s
65	271384	407554	0.1325s
66	275556	418734	0.3429s
67	279728	420078	0.2516s
68	283900	413979	0.1331s
69	288072	425133	0.2208s
70	292244	436281	0.3378s
71	296416	420623	0.1355s
72	300588	431753	0.7163s
73	304760	427731	0.2648s
74	308932	431243	1.491s
75	313104	430139	0.3766s
76	317276	432143	0.161s
77	321448	437712	0.2959s
78	325620	448822	0.2907s
79	329792	448748	0.2714s
80	333964	459858	0.1814s
81	338136	460237	0.2087s
82	342308	471347	0.2441s
83	346480	482457	0.2069s
84	350652	493567	1.514s
85	354824	476128	0.1703s
86	358996	487226	0.2444s
87	363168	487076	0.1805s
88	367340	498174	0.2211s
89	371512	509272	0.2176s
90	375684	520370	0.2861s
91	379856	509314	0.2s
92	384028	520390	0.2573s
93	388200	504021	0.2056s
94	392372	515087	0.3483s
95	396544	476266	0.1926s
96	400716	487254	0.2219s
97	404888	498242	0.2518s
98	409060	453792	0.5385s
99	413232	450297	0.1724s
100	417404	461131	0.2365s
101	421576	354319	0.2102s
102	425748	365035	0.1769s
103	429920	375725	0.1863s
104	434092	386409	0.195s
105	438264	241534	0.1748s
106	442436	252206	0.1602s
107	446608	262866	0.1641s
108	450780	273522	0.1658s
109	454952	284174	0.09057s
This is the last UNSAT round.
