#iterationNumber	varNumber	clauseNumber	itertionTime
1	5576	14006	0.09446s
2	10948	19136	0.03712s
3	16320	33774	0.04617s
4	21692	40063	0.0429s
5	27064	50155	0.05s
6	32436	60269	0.06389s
7	37808	70304	0.06347s
8	43180	80302	0.05285s
9	48552	94922	0.05177s
10	53924	100085	0.06085s
11	59296	114705	0.07159s
12	64668	129321	0.06705s
13	70040	129558	0.06709s
14	75412	144174	0.06866s
15	80784	158790	0.1643s
16	86156	158353	0.1012s
17	91528	168117	0.08247s
18	96900	182729	0.08193s
19	102272	188380	0.07897s
20	107644	202992	0.09106s
21	113016	217604	0.08163s
22	118388	219060	0.08422s
23	123760	233672	0.1387s
24	129132	248284	0.4304s
25	134504	247459	0.3764s
26	139876	253625	0.1024s
27	145248	268203	0.6365s
28	150620	264508	0.1404s
29	155992	270369	0.1948s
30	161364	277877	0.1257s
31	166736	292383	0.4289s
32	172108	287530	0.1183s
33	177480	302000	0.3248s
34	182852	301078	0.3135s
35	188224	309574	0.1959s
36	193596	324018	0.1247s
37	198968	324038	0.1057s
38	204340	338482	0.247s
39	209712	339352	0.2869s
40	215084	347988	0.2337s
41	220456	362420	0.1161s
42	225828	363216	0.1993s
43	231200	377648	0.1406s
44	236572	392080	0.1813s
45	241944	406512	0.1706s
46	247316	396851	0.1421s
47	252688	411283	0.1379s
48	258060	425715	0.177s
49	263432	440147	0.1592s
50	268804	431252	0.1263s
51	274176	445678	0.1866s
52	279548	460104	0.1539s
53	284920	455115	0.3536s
54	290292	459780	0.3254s
55	295664	467090	0.2369s
56	301036	416147	0.1892s
57	306408	430411	0.1693s
58	311780	397578	0.166s
59	317152	411838	0.2462s
60	322524	426074	0.1683s
61	327896	402631	0.1772s
62	333268	416849	0.1701s
63	338640	430925	0.1464s
64	344012	445001	0.1758s
65	349384	348441	0.1747s
66	354756	362507	0.2153s
67	360128	269590	0.1407s
68	365500	283472	0.1433s
69	370872	297348	0.1724s
70	376244	254860	0.06418s
This is the last UNSAT round.
