#iterationNumber	varNumber	clauseNumber	itertionTime
1	1112	2970	0.01929s
2	2020	3813	0.007848s
3	2928	6217	0.007694s
4	3836	8621	0.005678s
5	4744	6372	0.0128s
6	5652	8768	0.008435s
7	6560	7867	0.01194s
8	7468	8490	0.004949s
9	8376	10870	0.005578s
10	9284	13236	0.01362s
11	10192	9251	0.009439s
12	11100	11613	0.01517s
13	12008	13969	0.009705s
14	12916	9877	0.006441s
15	13824	12217	0.01242s
16	14732	14557	0.01345s
17	15640	9123	0.01034s
18	16548	11447	0.01654s
19	17456	8431	0.01482s
20	18364	8670	0.01016s
This is the last UNSAT round.
