#iterationNumber	varNumber	clauseNumber	itertionTime
1	3192	8040	0.05527s
2	6180	10229	0.02514s
3	9168	18223	0.02854s
4	12156	26217	0.03146s
5	15144	26192	0.0281s
6	18132	30304	0.02095s
7	21120	38272	0.03253s
8	24108	46240	0.0324s
9	27096	45404	0.06502s
10	30084	50001	0.03732s
11	33072	54710	0.03816s
12	36060	62672	0.05034s
13	39048	63493	0.06474s
14	42036	67886	0.06751s
15	45024	67417	0.04556s
16	48012	62591	0.04055s
17	51000	70433	0.08101s
18	53988	64982	0.04147s
19	56976	68063	0.04793s
20	59964	75883	0.06565s
21	62952	71938	0.09397s
22	65940	73523	0.04768s
23	68928	81311	0.05018s
24	71916	79161	0.06323s
25	74904	86943	0.05567s
26	77892	84894	0.09106s
27	80880	77773	0.05276s
28	83868	80025	0.07469s
29	86856	82130	0.06938s
30	89844	89814	0.06387s
31	92832	78523	0.07344s
32	95820	79184	0.05342s
33	98808	77582	0.09707s
34	101796	67798	0.06589s
35	104784	65623	0.06825s
36	107772	73185	0.07125s
37	110760	59409	0.05889s
38	113748	58360	0.08186s
39	116736	58636	0.04497s
40	119724	66166	0.05425s
This is the last UNSAT round.
