#iterationNumber	varNumber	clauseNumber	itertionTime
1	5144	12798	0.1242s
2	10084	16267	0.0559s
3	15024	29507	0.07564s
4	19964	34124	0.09289s
5	24904	42858	0.118s
6	29844	51533	0.09192s
7	34784	60196	0.3037s
8	39724	68556	0.3197s
9	44664	76628	0.07763s
10	49604	85390	0.2013s
11	54544	93952	0.4845s
12	59484	102173	0.1637s
13	64424	110881	0.6094s
14	69364	116211	0.393s
15	74304	124432	0.4219s
16	79244	127674	0.5134s
17	84184	132827	0.3081s
18	89124	140655	0.2808s
19	94064	145559	0.1917s
20	99004	153069	1.317s
21	103944	156437	0.1619s
22	108884	169525	0.1827s
23	113824	182613	0.1911s
24	118764	178848	0.332s
25	123704	184903	0.9704s
26	128644	183634	0.1735s
27	133584	190899	0.8481s
28	138524	198138	0.3076s
29	143464	205177	0.365s
30	148404	212355	0.1667s
31	153344	225395	0.202s
32	158284	238415	0.7618s
33	163224	226096	0.3652s
34	168164	233030	0.9169s
35	173104	235893	0.1668s
36	178044	248895	0.9335s
37	182984	249290	0.6179s
38	187924	255706	0.5419s
39	192864	262468	1.408s
40	197804	259528	0.4171s
41	202744	266033	0.3362s
42	207684	270907	0.2639s
43	212624	272242	0.5887s
44	217564	269843	0.5887s
45	222504	247468	1.141s
46	227444	226559	0.7275s
47	232384	213369	0.2112s
48	237324	213895	0.1986s
49	242264	226601	0.2173s
50	247204	239307	0.1981s
51	252144	252013	0.2381s
52	257084	230972	0.682s
53	262024	179122	0.1843s
54	266964	182025	0.2522s
55	271904	194515	0.3311s
56	276844	136836	0.1766s
57	281784	149280	0.416s
58	286724	138081	0.1205s
This is the last UNSAT round.
