#iterationNumber	varNumber	clauseNumber	itertionTime
1	2072	5310	0.03594s
2	3940	6757	0.01454s
3	5808	11741	0.0174s
4	7676	16725	0.01952s
5	9544	15055	0.01552s
6	11412	20031	0.0152s
7	13280	20461	0.0147s
8	15148	25433	0.02435s
9	17016	25384	0.02011s
10	18884	28018	0.02424s
11	20752	32980	0.02406s
12	22620	37942	0.02221s
13	24488	35736	0.02166s
14	26356	40698	0.02587s
15	28224	45660	0.0278s
16	30092	43543	0.02623s
17	31960	48491	0.02208s
18	33828	47308	0.05356s
19	35696	49816	0.03907s
20	37564	52239	0.02503s
21	39432	57179	0.03109s
22	41300	62119	0.03839s
23	43168	58645	0.0293s
24	45036	63585	0.05288s
25	46904	60122	0.04851s
26	48772	65042	0.04145s
27	50640	64741	0.06312s
28	52508	65078	0.05701s
29	54376	66775	0.0553s
30	56244	67887	0.03323s
31	58112	69825	0.02993s
32	59980	74723	0.05266s
33	61848	73041	0.04135s
34	63716	71225	0.09909s
35	65584	61834	0.04268s
36	67452	62318	0.04946s
37	69320	67144	0.04162s
38	71188	63868	0.06106s
39	73056	59849	0.06718s
40	74924	40803	0.0369s
41	76792	45533	0.03285s
42	78660	50259	0.0369s
43	80528	36347	0.03758s
44	82396	41053	0.04333s
45	84264	34362	0.03463s
This is the last UNSAT round.
