#iterationNumber	varNumber	clauseNumber	itertionTime
1	5144	12798	0.0803s
2	10084	16314	0.03708s
3	15024	29554	0.03967s
4	19964	42794	0.03826s
5	24904	43390	0.0442s
6	29844	56630	0.0425s
7	34784	69870	0.05576s
8	39724	70278	0.05514s
9	44664	79194	0.06437s
10	49604	92434	0.09811s
11	54544	96571	0.07162s
12	59484	109797	0.06858s
13	64424	113428	0.07042s
14	69364	126654	0.06875s
15	74304	131008	0.07624s
16	79244	144212	0.09055s
17	84184	146062	0.108s
18	89124	154450	0.09115s
19	94064	167648	0.2386s
20	99004	170697	0.4545s
21	103944	169599	0.07947s
22	108884	177455	0.2604s
23	113824	178663	0.1016s
24	118764	184999	0.2221s
25	123704	192453	0.1486s
26	128644	205555	0.09628s
27	133584	207276	0.1618s
28	138524	211354	0.1868s
29	143464	218790	0.37s
30	148404	224317	0.09253s
31	153344	237399	0.1139s
32	158284	237962	1.822s
33	163224	234871	0.258s
34	168164	239411	0.1486s
35	173104	252441	0.5846s
36	178044	247202	0.3089s
37	182984	254131	0.3817s
38	187924	249167	0.1697s
39	192864	255722	0.1653s
40	197804	268678	0.1109s
41	202744	265053	0.1623s
42	207684	278005	0.1199s
43	212624	290957	0.3652s
44	217564	276207	0.3263s
45	222504	263947	0.4893s
46	227444	247190	0.1581s
47	232384	259990	0.2586s
48	237324	248357	0.2527s
49	242264	253565	0.1851s
50	247204	253938	0.1927s
51	252144	266708	0.2393s
52	257084	261281	0.2029s
53	262024	266360	0.1826s
54	266964	270118	0.1172s
55	271904	282880	0.2629s
56	276844	270220	0.3107s
57	281784	248710	0.1614s
58	286724	252378	0.145s
59	291664	265056	0.1639s
60	296604	277720	0.5626s
61	301544	233452	0.3212s
62	306484	225957	0.1833s
63	311424	206924	0.1416s
64	316364	219456	0.2311s
65	321304	196320	0.1746s
66	326244	191976	0.2056s
67	331184	204462	0.1621s
68	336124	192459	0.1914s
69	341064	182000	0.2226s
70	346004	160866	0.1504s
71	350944	173288	0.2006s
72	355884	154942	0.07052s
This is the last UNSAT round.
