#iterationNumber	varNumber	clauseNumber	itertionTime
1	4152	10380	0.0688s
2	8100	13188	0.02882s
3	12048	23762	0.03207s
4	15996	34336	0.04538s
5	19944	33994	0.04582s
6	23892	40656	0.07317s
7	27840	46976	0.07914s
8	31788	53589	0.04273s
9	35736	64143	0.06871s
10	39684	66769	0.1456s
11	43632	67259	0.04259s
12	47580	77731	0.1089s
13	51528	78817	0.2541s
14	55476	79471	0.08244s
15	59424	84950	0.2074s
16	63372	88990	0.0612s
17	67320	94578	0.1069s
18	71268	99750	0.06579s
19	75216	110144	0.06195s
20	79164	108698	0.06434s
21	83112	119072	0.1399s
22	87060	115082	0.05832s
23	91008	117617	0.06611s
24	94956	127965	0.09299s
25	98904	125937	0.1487s
26	102852	129291	0.1006s
27	106800	132396	0.1201s
28	110748	136466	0.08194s
29	114696	146786	0.09148s
30	118644	157106	0.09243s
31	122592	151220	0.1167s
32	126540	155406	0.1417s
33	130488	158904	0.1122s
34	134436	169210	0.0905s
35	138384	166599	0.1031s
36	142332	176905	0.09019s
37	146280	187211	0.08621s
38	150228	179016	0.07072s
39	154176	189318	0.1475s
40	158124	185636	0.1598s
41	162072	189129	0.1394s
42	166020	190234	0.09062s
43	169968	200346	0.08745s
44	173916	210458	0.1903s
45	177864	137246	0.08438s
46	181812	147326	0.1151s
47	185760	138620	0.1004s
48	189708	71863	0.0583s
This is the last UNSAT round.
