#iterationNumber	varNumber	clauseNumber	itertionTime
1	12109	32581	0.3524s
2	21609	40359	0.1301s
3	31109	50359	0.1231s
4	40609	75825	0.1711s
5	50109	69668	0.1549s
6	59609	79736	0.1669s
7	69109	90010	0.208s
8	78609	99782	0.1729s
9	88109	109765	0.3214s
10	97609	119685	0.1679s
11	107109	129897	0.2552s
12	116609	155345	0.3223s
13	126109	149156	0.3312s
14	135609	174598	0.6492s
15	145109	168235	0.3202s
16	154609	193657	0.358s
17	164109	186313	0.4366s
18	173609	195617	0.3441s
19	183109	204566	0.3137s
20	192609	229972	0.3235s
21	202109	255378	0.5332s
22	211609	229553	0.9795s
23	221109	236456	0.3262s
24	230609	245587	0.6064s
25	240109	254009	0.7348s
26	249609	259655	0.3625s
27	259109	285005	0.4483s
28	268609	277407	0.4234s
29	278109	284725	0.4541s
30	287609	310063	0.6581s
31	297109	304368	0.4681s
32	306609	311193	0.5993s
33	316109	319979	0.3969s
34	325609	345297	0.5346s
35	335109	336031	0.5699s
36	344609	344017	0.3056s
37	354109	369333	0.5812s
38	363609	394649	0.7617s
39	373109	368801	0.7941s
40	382609	372853	0.3144s
41	392109	398149	0.288s
42	401609	423445	1.014s
43	411109	390838	1.707s
44	420609	393623	0.6031s
45	430109	401992	0.6842s
46	439609	408902	2.515s
47	449109	397128	2.011s
48	458609	378745	0.5861s
49	468109	403847	1.484s
50	477609	380257	1.085s
This is the last UNSAT round.
